1,,,,,2,,,,,3,,,,,4,,,,,100,,,,,271,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.56394004954572,8.80916399304404,1393.47368421053,0.641162956001751,,2.05041039729789,5.2502969484229,1346.91764705882,0.639206445609859,,1.97768690123964,5.80685325490012,1342.42352941176,0.674808573702466,,4.05920432942329,22.4107587071085,4499.37647058823,0.375563128643911,,7.92097968657407,8.155759576172,2254.58333333333,0.294187188693362,,2.82362039459359,9.37982853148156,1048.95833333333,0.376891098433291,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
,,,,,384.512402088773,918.843994778068,1532,0.460817377042884,3.95368186772837,402.268068331143,803.760840998686,1522,0.576811130539503,2.45647669776137,715.217443729903,178.088625401929,4976,0.204580837997021,2.9929794543563,993.160747171797,701.320705077611,3801,0.123315929895756,6.37177781419362,220.146258503401,110.260204081633,1176,0.679220563611506,5.2313396297036
,,,,,386.661883967561,920.776668746101,1603,0.404370569275977,2.89058835082949,402.438044206296,806.038847957133,1493,0.603375747879901,2.28433962029916,712.941769091275,174.829337094499,4963,0.188935825099121,3.97512959937718,992.392560944961,702.936918823825,3979,0.13883215669033,1.78948510822279,217.473933649289,110.041706161137,1055,0.461315487865215,2.68124252300436
,,,,,387.08514386377,919.775102759836,1703,0.443768513455153,1.08732854491312,403.609972677596,804.670765027322,1464,0.63872131994127,1.80140701805071,714.121101660591,175.863507492912,4938,0.196540720445638,1.56854509721668,989.724378881988,705.1966873706,3864,0.162575328041875,3.49653391320152,213.476443768997,105.698328267477,1316,0.865620336445659,5.90295323293133
,,,,,385.592154420922,919.444582814446,1606,0.44545293668089,1.5291373093208,402.682298546896,804.970277410832,1514,0.552043754403662,0.974826631071219,714.06149460395,175.262064752596,4911,0.228570585985097,0.604389254603427,976.888733052828,701.052828424497,4278,0.430405192806856,13.4879713380778,215.880037488285,107.119025304592,1067,0.321911927241895,2.79206784277675
,,,,,385.617346938775,920.591198979592,1568,0.436761550797574,1.14689288651111,402.52540192926,805.886816720257,1555,0.499161078850952,0.92987141817926,715.098588537211,179.446963216424,4676,0.23512409409775,4.31148918344432,971.465693092258,704.202596198424,4314,0.513068087357513,6.27139533466129,214.577608142494,109.050042408821,1179,0.310157911100316,2.32919498058924
,,,,,385.985218508997,921.00706940874,1556,0.443434807848672,0.555227616404068,403.211787564767,805.095207253886,1544,0.591964351059944,1.0477455740198,715.15808282531,179.965104057179,4757,0.23421657064149,0.521545301171684,975.207015278674,715.824402840542,4647,0.442261670578605,12.2091720165359,215.546409807356,107.450963222417,1142,0.306640762523384,1.86966064039182
,,,,,383.711502199874,921.006913890635,1591,0.371311721672529,2.27371631444171,404.241077019411,804.21352536005,1597,0.527730276412412,1.35528585300688,716.916965085049,185.784914950761,4468,0.252015056684462,6.07979157872056,954.121594349142,666.404137235116,1982,0.0595433671214805,53.7304162303478,215.460909090909,107.341818181818,1100,0.303184379137872,0.138647078584912
,,,,,386.307023411371,921.4127090301,1495,0.446326495450803,2.62705158962369,406.191212871287,804.119430693069,1616,0.473291880186013,1.95240458079907,716.079725675096,182.875267895414,4666,0.223573635555966,3.02770801370764,965.118205804749,667.846965699208,1895,0.106167030338052,11.0908618908714,215.483754512635,107.652527075812,1108,0.309258638892208,0.311547636968863
,,,,,386.162983425414,920.771408839779,1448,0.49356522931555,0.657277301951473,405.405637254902,804.247549019608,1632,0.492599757880196,0.795954367193255,717.480137427528,186.259394459953,4657,0.257026701642772,3.66243985359065,997.784435797665,659.628793774319,1285,0.316698296536202,33.6841347185456,215.259718775848,106.868486352357,1209,0.324752854755076,0.81542128215648
,,,,,386.098806366048,922.634615384615,1508,0.498398624906643,1.864311487834,405.768610421836,803.961538461538,1612,0.485615302818253,0.462116391444274,718.256068226547,188.314235731467,4573,0.278473875535291,2.19646107545414,996.324441240087,660.10021629416,1387,0.171677151746765,1.53421748796352,215.488986784141,107.033480176211,1135,0.337214293595578,0.282465540441169
